Restaurant Name,Most Popular Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Fuel Station,Beverages,4,200,Ganeshpeth Colony,Futala,"Banode Enclave, New Shukrawari, Near Ashok Square, Above Fitness Courtyard Gym, Cement Road, Nagpur - 440018",TRUE,0
Sindh Punjab Tadka,North Indian,3.6,200,Ramdaspeth,"Ramdaspeth, Sindh Punjab","Opposite Hotel Center Point, Ramdaspeth, Nagpur",FALSE,0
Moti Mahal Restaurant,Multi-cuisine,4.2,800,Sadar,Sadar,"Residency Road, Sadar, Nagpur",FALSE,0
Amaira,Multi-cuisine,4.3,400,Civil Lines,Civil Lines,"1st floor, above Axis bank, M.G.HOUSE, R.T.road, Civil lines, Nagpur",TRUE,0
Oishi,Multi-cuisine,4.4,300,Gandhibagh,Nandanvan,"Hotel Woodlands, Beside HDFC Bank, Opp. Gitanjali Cinema, Central Avenue",FALSE,0
Tauby's,Desserts,3.9,250,Civil Lines,Sadar,"Behind Poonam Plaza, Civil Lines, Palm Road, Sadar, Nagpur",FALSE,0
Hotel Bartania,Biryani,3.4,250,Mominpura,mominpura,Mohammad ali road mominpura,FALSE,0
Biryani House (Pure Veg),Biryani,2.9,200,Lokmat Chowk,"Lokmat Chowk, Biryani","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",TRUE,0
Saroj Bakery,Bakery,4,100,Sadar,Sadar,"Opposite SFS School, Residency Road, Sadar, Nagpur",FALSE,0
Dinshaw's Icecream - Tatabaugh,Desserts,4.6,300,Gandhibagh,"Gandhibagh, Tatabagh","HOUSE NO. 6/A, NEAR TATA PARSI HIGH SCHOOL, OPP. SHUKRAWARI TALAV, NAGPUR",FALSE,0
Nanking Chinese Restaurant,Chinese,4.2,300,Civil Lines,civil lines,"167,R.T. Road, Civil Lines",FALSE,0
Cake Links,Desserts,4.3,200,Sadar,Sadar,"Shop 13 - 15, VCA Stadium, Sadar, Nagpur",FALSE,0
Liberty Family Restaurant,Multi-cuisine,4.3,400,Sadar,Sadar,"Saraf Chamber Road, Sadar, Nagpur",FALSE,0
Moksh - The Restro Lounge,Multi-cuisine,3.4,400,Sitabuldi,Jhansi Rani Chowk,"Near Jhansi Rani Chowk, Nagpur",FALSE,0
Burhanpur ,Beverages,4.5,200,Mominpura,Nandanvan,"HOUSE NO.826, MOMENPURA, NAGPUR, MAHARASHTRA - 440018",TRUE,0
Dahiya Momos (Ramdaspeth),Fast Food,4.3,200,Ramdaspeth,Dharampeth,"280,	LENDRA	PARK RAMDASPETH-440010",FALSE,0
UDUPI GOKULA,South Indian,4.1,300,Sadar,Sadar,"3, Mount Rd, Opp. LIC Office, Mohan Nagar, Nagpur, Maharashtra 440001, India",TRUE,0
Jubilee Bakery,Bakery,4.1,200,Byramji Town,Chaoni,"Shop 1, Dhadiwal Complex, Opposite MOIL Bhavan, Katol Road, Chhaoni, Nagpur",FALSE,0
Sanjha Chullah,Multi-cuisine,4,350,Sadar,Sadar,"opp Fidvi tower, near Saraf chambers, Mount Road, Sadar, Nagpur",FALSE,0
La Pino'Z Pizza,Pizza,3.7,300,Dharampeth,Dharampeth,"C/O ""YASHODA"", PLOT  NO. 20, SHOP NO. 5,  MATA MANDIR ROAD,  NEAR TRAFFIC PARK,  DHARAMPETH, NAGPUR- 440010., Nagpur urban,  Nagpur-1, Maharashtra- 440010",FALSE,0
Centre Point Delivery,North Indian,4.1,1200,Ramdaspeth,Ramdaspeth,"Central Bazar Road, Hotel Centre Point, Ramdaspeth, Nagpur",FALSE,0
Cafe Panda,Fast Food,3.2,220,Medical square,"medical square, nagpur","plot no. 113, utkhana, near ambedkar school, nagpur",FALSE,0
Ashoka Restaurant,Multi-cuisine,4.5,1100,Sadar,Sadar,"60, Sadar Bazar Main Road, Sadar, Nagpur",FALSE,0
Punjab Restaurant Kartar Singh Da Dhaba,North Indian,4.1,200,Sadar,Bajaj Nagar,"13, Gaddi Godam, Kamptee Road, Bajaj Nagar, Nagpur",FALSE,0
Food Links,Desserts,3.9,250,Sadar,Sadar,"Shop 13-15, VCA Stadium, Sadar, Nagpur, Maharashtra",TRUE,0
Navratna Raghav Restaurant,Multi-cuisine,4.1,350,Sadar,Sadar,"33, Salwe Square, Mount Road, Sadar, Nagpur",TRUE,0
Fitness Courtyard,North Indian,4.4,250,Ganeshpeth Colony,Gandhibagh,"Banode Enclave, New Shukrawari, Near Ashok Square Bridge, Kashibai Temple, Gandhibagh, Nagpur",TRUE,0
Vyanjanam,North Indian,3.8,150,Ramdaspeth,Ramdaspeth,"Nr.Centre Point, Ramdaspeth",TRUE,0
Cake's Inn,Bakery,4.1,300,Sadar,Sadar,"Opposite Saraf Chambers, Mount Road, Sadar, Nagpur",TRUE,0
Biryani Villa,Biryani,4,250,Sadar,"Sadar, Villa","Bullock Cart, HOUSE NO . 3425/A NEAR SMURTI TALKIES MOUNT ROAD SADAR NAGPUR, Nagpur urban, Nagpur-1 (Maharashtra), 440001",FALSE,0
Vadilal Ice Cream,Desserts,4.1,250,Medical Square,Nandanvan,"QTR.NO.14/5, V.H.B. COLONY, RAMBAG PLAY GAOUND NAGPUR 440003",TRUE,0
The Kathi Crossing,Fast Food,4,200,Civil Lines,Civil Lines,"heritage Hotel, Ravindranath Tagore Road, Civil Lines, Collector's Circle, Nagpur",FALSE,0
The Belgian Waffle Co.,Desserts,4.1,200,Sadar,Sadar Bus Stop,"Residency Road, Near Gangaur, Adjacent to Diamond Salon, Opposite Governer's Bangalow Bus Stop, Sadar, Nagpur",TRUE,0
Sardarji Da Chullah,North Indian,3.8,250,Sadar,"Sadar, Sardarji",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,FALSE,0
Rajendra Chinese,Chinese,3.8,200,Bajaj Nagar,Bajaj Nagar,"Vaibhav Laxmi Lawn,  Near Baba Garage, Bajaj  Nagar Chowk, Nagpur  Urban-440010",FALSE,0
Thali Wala (Pure Veg),Thali,2.6,200,Lokmat Chowk,"Lokmat Chowk, Thali","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",TRUE,0
Grill Inn,Fast Food,4.2,300,Dharampeth,Dharampeth,"Shop no. 11, 12, lad apartment, opposite tarkunde dharampeth school ,khare town ,ambazari road ,dharampeth ,nagpur ., zone no.3 - neharunagar,nagpur urban ,nagpur-1, maharashtra -440010",FALSE,0
Roast Cafe,Multi-cuisine,4,250,Sadar,Residency Road,"Zal Complex, below Bharat Saree Stores, Sadar, Nagpur",FALSE,0
Chef's On Fire,Multi-cuisine,4,150,Sadar,Sadar,"Shop No. 3, Opp. Pehnava Boutique, Zone No.10, Mangalwari, Nagpur Urban-440001",FALSE,0
LB's Kitchen,Multi-cuisine,3.8,450,Sadar,Sadar,"Hotel LB, Mount Road, Sadar, Nagpur",FALSE,0
Hariom's HB kitchen,Multi-cuisine,2.8,200,Ramdaspeth,"Ramdaspeth, Hariom","Opposite Centre Point Hotel, Ramdaspeth, Nagpur",TRUE,0
Yuvi's Rasoi Thali,Thali,3.4,200,Ramdaspeth,"Ramdaspeth, Yuvi's","Plot no.1151, Shop no.4250, Manoj Buiding, Ground Floor, Ramdaspeth, Nagpur",TRUE,0
Sigri,North Indian,4,600,Civil Lines,Sadar,"Hotel Heritage 2001, Collectors Colony, Civil Lines, Nagpur, Maharashtra 440001",FALSE,0
Frullato,Beverages,3.9,200,Sadar,Sadar,"Shop No. F7, Ground Flooor, Opp. Sadar Bus Stop, Sadar, Nagpur",TRUE,0
Mullaji Sadar Biryani Center,Biryani,3.9,200,Sadar,Sadar,"SHOP NO. 53, MINI MANGALWARI, BAJAR COMPLEX, NAGPUR, Zone no.10- Mangalwari, Nagpur urban, Nagpur-1, Maharashtra - 440001",FALSE,0
East India Company,Multi-cuisine,4.3,950,Civil Lines,Civil Lines,"Akashwani Chowk, Near Seasons Lawns, Civil Lines, Nagpur",FALSE,0
Babbu's Galaxy Restaurant,Biryani,4.3,400,Byramji Town,Civil Lines,"Near SBI, Katol Road, Civil Lines, Nagpur",FALSE,0
Panino The Sandwich World,Fast Food,3.8,250,VCA,Sadar,"Shop No 29, The Vidarbha Cricket Association Complex, Civil Lines, Nagpur-440001",FALSE,0
Burhanpur ,Beverages,3.8,300,Nandanvan,Nandanvan,H NI 260 BLOCK NO 2 SHYAM TALKIES CHOWK NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA-440002,FALSE,0
Amritsari Junction,North Indian,3.1,250,Sadar,"Sadar, Amritsari","Bullockcart Restaurant, Ashoka Hotel Square, Mount Road , Sadar",TRUE,0
Dosa house,South Indian,2.9,150,Medical Square,Ayodhya Nagar,"Near Padole Corner, Siraspeth, Nagpur, Ayodhya Nagar, Nagpur,Ayodhya Nagar,Nagpur",TRUE,0
Tikkas and Curries,North Indian,3.9,250,Sadar,"Sadar, Tikkas",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,FALSE,0
PANDITAIN KA DHABA,Multi-cuisine,3.5,150,Sadar,Sadar,"5;Residency Road ,beside moti mahal sadar, nagpur-440001",FALSE,0
Foody Moody,North Indian,3.4,400,Lokmat Chowk,Ramdaspeth,"PLOT NO. 10, SHOP NO.4, SAHIB NIWAS NEAR, NARULA BUILDING, RAMDASPETH, NAGPUR ,Zone no.3 -Neharunagar,Nagpur (Urban),Nagpur,Maharashtra-440012",FALSE,0
Foody Moody (Original),North Indian,2.4,200,Lokmat Chowk,Ramdaspeth,"PLOT NO. 10, SHOP NO.4, SAHIB NIWAS NEAR, NARULA BUILDING, RAMDASPETH, NAGPUR ,Zone no.3 -Neharunagar,Nagpur (Urban),Nagpur,Maharashtra-440012",FALSE,0
Goli Vada Pav No .1,Maharashtrian,4.4,100,Medical Square,Medical College Square,"LG.13, H.K.M.C. Complex Medical College Square, near Hanuman Mandir, Medical Chowk, Hanuman Nagar, Nagpur, Maharashtra 440009",TRUE,0
B'Creamy,Desserts,4.2,200,Sadar,Sadar,"SJTI COMPLEX, BLOCK NO. 10,11, RESIDENCY ROAD, SADAR, NAGPUR, Nagpur- 1, Maharashtra-440001",TRUE,0
Kitu Da Dhaba,North Indian,3.1,200,Ramdaspeth,"Ramdaspeth, Kitu","Plot no.1151, Shop no.4250, Manoj Buiding, Ground Floor, Ramdaspeth, Nagpur",FALSE,0
Yummi Momos,Fast Food,4,200,Sadar,Chaoni,"Beside Shabana bakery,Chaoni, Nagpur",FALSE,0
Delhi Chaap Corner,Fast Food,3.8,300,Sadar,Sadar,"B-11, UTKARSH NIRMAN COMPLEX, MANGALWARI, SADAR, NAGPUR",FALSE,0
Beijing Lu,Chinese,3.7,300,Sadar,Sadar,"BEIJING LU RESIDENCY ROAD BH- MOTI MAHAL RESTAURANTS SADAR NAGPUR-440001, District - Nagpur-1, STATE - Maharashtra",FALSE,0
Hotel Heritage Restaurant,Multi-cuisine,3.7,400,Civil Lines,Civil Lines,"Ravindranath Tagore Road, Civil Lines, Collector's Circle, Nagpur",FALSE,0
Suraj Chinese centre and sandwiches,Chinese,2.3,200,Dharampeth,Dharampeth,"Dharampeth Buddha Vihar, Dharampeth, Nagpur, Maharashtra, India",FALSE,0
Bullock Cart Nx,Multi-cuisine,3.7,250,Sadar,"Sadar, Bullock",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,FALSE,0
Oye Kakke,Multi-cuisine,4,250,Sadar,"Sadar, Kakke",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,FALSE,0
Om Shakti Saoji Bhojnalaya,Maharashtrian,4,400,Itwari,panchpaoli,"Golibar Chowk , Opposite Ganesh Mandir, Pachpaoli Road, Pachpaoli, Nagpur",FALSE,0
