Restaurant Name,Most Popular Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Drunken Monkey,Beverages,4.1,300,Laxminagar,Bajaj Nagar,UFG 04 Shree Ganeshvignaharta Apartment Mate Chowk Nagpur 440010,FALSE,0
Baskin Robbins,Desserts,4.5,250,Laxminagar,Bajaj Nagar,"baskin-robbins near 8 Rasta Chowk, Laxminagar, Nagpur, Maharashtra, India",TRUE,0
Bula's Kitchen,Multi-cuisine,4.1,350,Khamla,Khamla Square,"Khamla Square, Near Arun Automobiles, Pratap Nagar, Nagpur",FALSE,0
Flavours,Multi-cuisine,4.1,400,Vivekanand Nagar,Vivekanand Nagar,"Ring Road, Central Excise Colony, Chhatrapati Square, Vivekanand Nagar, Nagpur",FALSE,0
Anaya Bakery,Bakery,4,200,Teka Naka,Jaripatka,"Plot 17, Teka Naka, Kamatee Road, Jaripatka, Nagpur",FALSE,0
The Paratha Shopee - Jaripatka,North Indian,4,300,Jaripatka,Jaripatka,plot no 19 indira Gandhi colony jaripatka Nagpur,FALSE,0
Family Foods,Maharashtrian,3.8,300,Vivekanand Nagar,"W High Court Road, Surendra Nagar","Plot Number 37, Devashish Apartment, W High Court Road, Surendra Nagar, Vivekanand Nagar, Nagpur",TRUE,0
Ramji Shamji Pohewale,Maharashtrian,4.2,100,Wardha road,Wardha Road,NH44 Sindhi Khamla New Sneh Nagar Nagpur,TRUE,0
Chinese Only,Chinese,2.9,150,Ayodhya Nagar,MAHALAXMI NAGAR,2nd floar of scorpion gym mahalaxmi nagar no.2.  3rd lane  backside of bakde sabhagrih manewada road nagpur 440027,FALSE,0
Piyush Maratha Saoji,Maharashtrian,3,200,Wardha Road,Vivekanand Nagar,"Chatrapati Sqaure, Wardha Road, Opposite Sai Mandir, Vivekanand Nagar, Nagpur",FALSE,0
"Hotel Taj - Teka, Asi Nagar",Biryani,3.9,300,Indora Chowk,Gandhibagh,"Hotel Taj, Aashi Nagar Chowk, Nagpur",FALSE,0
Dawat Biryani,Biryani,3.5,200,Suyog Nagar,Dharampeth,"45, Shyam Bear Bar, Dwarkapuri, Rameshwari, Nagpur",FALSE,0
Curry House,Biryani,4.1,350,Laxminagar,Pratap Nagar,"Shop No UG-13, Ganesh Vighnaharta Apartment, RPTS Road, Pratap Nagar, Nagpur",FALSE,0
Cake Day,Bakery,4.3,300,Ayodhya Nagar,Ayodhya Nagar,"Plot Number 12, Parwati Nagar, Rameshwari Road,Ayodhya Nagar,Nagpur",TRUE,0
Megha Juice and Foods,Beverages,4.2,400,Pratap Nagar,Tata Topy Nagar,"Tatya Topy Nagar, Whc Road, Nagpur",TRUE,0
Manu's Missal Co.,Maharashtrian,4.3,200,Khamla,Pratap Nagar,"Manu's Missal Co., near Pratap Nagar SQ, Near Pratap Nagar Square, Ganesh Colony, Nagpur, Maharashtra, India",TRUE,0
Fluff Artisan Cafe,Multi-cuisine,3.5,250,Bajaj Nagar,Dharampeth,"Fluff Artisan Cafe, Shop No 17, J P Chambers, Wing 1 , South Ambazari Road, Mate Square, Madhav Nagar, Nagpur, Maharashtra, India",FALSE,0
Burhanpur Jalebi Center,Desserts,4.6,100,Pratap Nagar,Pratap Nagar,"PLOT NO. 37, SHOP NO.2, SONALI APARTMENT, KOTWAL NAGAR, RING ROAD, NAGPUR - 440022",TRUE,0
DOSA DESTINATION,South Indian,4.2,150,Wardha Road,Wardha Road,"1174/84, Ring Rd, Pragati Colony, Gajanan Nagar, Nagpur, Maharashtra 440015, India",TRUE,0
Bake My Cake,Bakery,3.8,250,Rameshwari,Wardha Road,"Shop no 4 , nalanda nagar , bhagwan nagar road , near bank of Maharashtra , Nagpur 440027",TRUE,0
Dikshani Pure Veg Restaurant,North Indian,2.1,300,Ayodhya Nagar,"Ayodhya Nagar,jambudeep nagar near khadse high school",Plot no 151 jambudeep nagar near khadse high school,FALSE,0
Roll Corner,Fast Food,2.8,350,Ayodhya Nagar,Ayodhya Nagar,2nd floar of scorpion gym mahalaxmi nagar no.2.  3rd lane  backside of bakde sabhagrih manewada road nagpur 440027,FALSE,0
Anna Idli,South Indian,4,300,South Ambazari Road,Dharampeth,"ANNA IDLI, SHRADDHANAND PETH SOUTH  AMBAZARI ROAD, Nagpur urban, Nagpur-1,  Maharashtra-440022",FALSE,0
The Antique Oven,Pizza,3.7,250,Rameshwari,Nandanvan,"Plot No. 177, Space Tower, Flat no. 104, Ayurvedic Layout, Bhande Plot Chowk, Umred Road, Nagpur",FALSE,0
Family Tadka,North Indian,3.4,250,Nandanvan,Nandanvan,3011/F/117 Ramna marothi road kamgar nagar shri prabhu nagar Area : New Nandanwan ramna,FALSE,0
Hotel Dawat (Mankapur),North Indian,4.1,600,Gittikhadan,Mankapur,"8, Koradi road, Opposite kunal hospital, new mankpur, Nagpur",FALSE,0
Varhadi Thali Centre & Restaurant,Maharashtrian,4.3,400,Khamla,Khamla Road,"52, Vyankatesh nagar, near Arjuna celebration Hall, Khamla road, nagpur 440025",TRUE,0
Singh's BarbeQ And Currys,North Indian,3.7,400,Wardhaman Nagar,Wardhaman Nagar,"Plot 233, Kalamna Market Road, Wardhaman Nagar, Nagpur",FALSE,0
Maharashtrian Mejwani Roti Paratha.Com,Maharashtrian,4.1,250,Ayodhya Nagar,Ayodhya Nagar,"Babulkheda, Parvati Nagar, Nagpur",TRUE,0
Arohi Food,North Indian,2.5,200,Ayodhya Nagar,Ayodhya nagar,"Near dadasaheb khadse high school, Ayodhya nagar, Nagpur",FALSE,0
Swad Paratha Centre,North Indian,2.9,200,Manewada,Manewada Square,2nd floar scorpion gym plot no. 36 mahalaxmi nagar 2 manewada road nagpur maharashtra 440027,FALSE,0
Jimo,North Indian,4.4,300,Khamla,Wardha Road,"new sneh nagar, wardha road, nagpur",FALSE,0
Divine Kitchen,North Indian,3,300,Narendra Nagar,Narendra nagar,"Plot no 14/ A1,  Laxmi Niwas,  Borkute Layout, Narendra nagar,  nagpur-15",FALSE,0
Dragon Chinese,Chinese,3,400,Ayodhya Nagar,Ayodhya Nagar,"PLOT NO. 36, MAHALAXMI NAGAR, NAGPUR , Zone no.3 -Neharunagar , Nagpur urban, Nagpur-1, Maharashtra-440024",FALSE,0
New Phalguni Cake Shop,Bakery,4.1,500,Shashtri Nagar,Wardhaman Nagar,"Usha Apartment, Central Avenue Road, Wardhaman Nagar, Nagpur",TRUE,0
The Music Cafe,Multi-cuisine,3.4,200,Wardhaman nagar,Padole Nagar,"370/180, Padole Nagar, Wardhaman Nagar, Nandanvan, Nagpur",FALSE,0
Maharashtrian Roti.com,Maharashtrian,3.8,250,Khamla,"45Old Sneh Nagar ,Wardha Road","45Old Sneh Nagar ,Wardha Road nagpur",TRUE,0
Happy Foods,Multi-cuisine,3.2,300,Manewada,Ayodhya Nagar,"Manewada Besa Road, Opposite Indian Bank, Near Tata Square, Vaidehi Tower, Nagpur, Maharashtra 440027",FALSE,0
Cafe Oliver,Multi-cuisine,3.9,200,Ayodhya Nagar,Ayodhya Nagar,"Cafe Oliver, Shutter no.2, Shubh Nagar,  Manewada Road, Nagpur, Nagpur  Muncipal Corporation Zone 03  Hanumannagar, Nagpur, Maharashtra -  440027",FALSE,0
Al Rahman - Jafar Nagar,Biryani,4.1,300,Sadar,Sadar,"Plot no.8, A Y Tower, Mansha Chowk, Jafar, Nagar, Main Road, Nagpur",FALSE,0
Shhort Order,Fast Food,4.1,550,Wardhaman Nagar,Wardhaman Nagar,"Shop No.13, Shree Ambe Society, Wardhaman Nagar, Nagpur",TRUE,0
Shabana's Signature Shop,Bakery,4,200,Gittikhadan,Jafar nagar,"Plot 44, Dag Colony, Ahbab Colony, Jafar Nagar, Nagpur, Mankapur, Nagpur",FALSE,0
Jevanam,North Indian,2.8,300,Khamla,"Pratab nagar, Jevanam","Jaiprakash Nagar, Nagpur440025",FALSE,0
Matadin Ram Bhandar,Multi-cuisine,4.3,400,Pratap Nagar,Income Tax Colony,"Plot No.5, Income Tax Colony, Pratap Nagar, Nagpur",TRUE,0
Maharaja Thali,Thali,3.3,300,Khamla,"Pratab nagar, Maharaja","achariz food khamla road jaiprakash nagar near VVV public school,, Zone no.1 Laxminagar, Nagpur urban, Nagpur-1, Maharashtra - 440025",FALSE,0
Spicy Bites,North Indian,3.4,300,Khamla,"Pratab nagar, Spicy bites","Jaiprakash Nagar, Nagpur                       440025",FALSE,0
Two Brothers Shawarma,Fast Food,3.9,250,Pratap nagar,"IT Park ,Khaugali , Gayatri Nagar","C-Wing, C-20, LGF Shop, Shiwalkar Garden, Nagpur",FALSE,0
AL Baik,Multi-cuisine,4.1,280,Jafar nagar,Sadar,"Sr No - 5, 179/1 ,Plot No- 12, Ground Floor, house no- 100/E/A/12/A, Jafar nagar, Behind Police Line Takali, Zone no.10- Mangalwari, Nagpur urban, Nagpur-1, Maharashtra - 440030",FALSE,0
Bake Street,Bakery,3.9,200,Jaripatka,Jaripatka,plot no. b4 prashat nagar near CID headquater takli Nagpur,TRUE,0
Shree Gayatri Bhojnalay,Thali,4.3,300,Pratap Nagar,Pratap Nagar,"PLOT NO.13, SHANTAM APPARTMENT, CEMENT ROAD, PRATAP NAGAR, NAGPUR  440022",FALSE,0
SHREE  SHARANYA  MAHAL,Multi-cuisine,3.6,300,Pratap Nagar,Pratap Nagar,"P. N. 21,Subhash Nagar, South Ambazari Road,LAXMINAGAR 	440022",TRUE,0
The Indian Grill,North Indian,4,250,Jaripatka,Jaripatka,"74 Heera Nagar Square, Jaripatka, Nagpur",FALSE,0
Biryani Express,Biryani,2.8,200,Wardha Road,Wardha Road,"SIDDHIVINAYAK , PLOT NO. 5, HIGH  COURT SOCIETY, RAJIV NAGAR, NAGPUR,  Zone no.5-Hanumannagar, Nagpur urban,  Nagpur-1, Maharashtra - 440025",FALSE,0
Panipuriwala,Fast Food,3,100,Ayodhya Nagar,Nandanvan,P No 1 Mata kacheri layout ambika ngr manewada rd Nagpur 440024,TRUE,0
Balaji Foods and Nashta Point,Multi-cuisine,3.9,150,Somalwada,Manish Nagar,Balaji Foods and Nashta Point,FALSE,1
Spice Mystery,North Indian,2.8,200,Somalwada,"C/o Spice Mystery, high court society","Plot No. 5, high Court Society, Govind Nagar, Khamla, Nagpur",FALSE,0
Ideal Restaurant,Multi-cuisine,4.4,300,Wardhaman Nagar,Wardhaman Nagar,"Opposite Big Bazar, Hiwari Nagar, Wardhaman Nagar, Nagpur",TRUE,1
99 THALI/AHHO THALI AALI,Thali,3,200,Pratap Nagar,Pratap Nagar,ACHARIZ FOOD KHAMLA ROAD JAIPRAKASH NAGAR NEAR VVV PUBLIC SCHOOL ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440025,FALSE,0
Thali Meals,Thali,2.6,500,Khamla,"Pratab nagar, Thali","achariz food khamla road jaiprakash nagar near VVV public school, Zone no1  Laxminagar, Nagpur urban Nagpur 1 Maharashtra 440025",FALSE,0
Hotel Barkat,North Indian,3.7,300,Mate Square,Pratap Nagar,"Besides Reiliance Mart, Near Mate Square, Shivalkar Garden, Pratap Nagar, Nagpur",FALSE,0
BEGAM BIRYANI,Biryani,1.8,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",FALSE,0
RB's Food,North Indian,3.3,100,Gittikhadan,Sadar,"Plot 43, Girja 4th Apartment, Anant Nagar, Near Sadar, Nagpur",FALSE,0
Taste of Punjab,North Indian,3.7,300,Khamla,"Near Hanuman Mandir, Main Road","PR Plaza, Near Hanuman Mandir, Main Road, Khamlay, Vivekanand Nagar, Nagpur",FALSE,0
ROLLS MOON,Fast Food,1.5,99,Wardha Road,Wardha Road,"achariz food khamla road jaiprakash  nagar near VVV public school, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",FALSE,0
Treat At Street Cafe,Fast Food,4,150,Pratap Nagar,"Ring Road, Pratap Nagar","Besides Cafe Coffee Day, Pratap nagar 6,ring road nagpur 440022",FALSE,1
Kitchen Glory ,North Indian,3.3,300,Manish Nagar,narendra nagar,"Plot 42, Santaji Society, Dandekar Layout, Narendra Nagar, Nagpur",FALSE,0
Spice Mystery Paratha Express,North Indian,3,150,Somalwada,"C/o Spice Mystery, high court society","Spice Mystery, plot no. 5, high court society, rajiv nagar, nagpur",FALSE,0
THE SHAWARMA POINT,Fast Food,3.9,150,Pratap Nagar,Pratap Nagar,"G- 26, GAYATRI NAGAR, NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA  - 440022",FALSE,1
THALI MAKERS,Thali,2,200,Pratap Nagar,Pratap Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,FALSE,0
Mad Casa Cafe,Fast Food,4.2,250,Pardi,ASHUTOSH SHOWROOM,"S NO 188/2, NEW DATTA NAGAR, NEAR AYODHYA NAGARI, WAKAD, PUNE PCMC ward No-56, Pune PCMC, Maharashtra-411057",TRUE,1
New Thali King,Thali,4,300,Trimurti Nagar,"New Thali King, Shelwalkar Garden Apartment","Plot no.169, S-1, Shivshakti Apartment, Lokaseva Society, Sujata Layout, Nagpur",FALSE,1
Shree Balaji Family Restaurant,Multi-cuisine,3.7,300,Mhalgi Nagar,Ayodhya Nagar,"Shop 1234, Satyam Plaza, Hudkeshwar Road, Mahalgi Nagar Square, Ayodhya Nagar, Nagpur",FALSE,1
Anna Action South Indian Restaurant,South Indian,3.2,150,Manewada,Besa Road,72 jai gurudeo nagar behind happy foods manewada,TRUE,1
The Breakfast Story,Beverages,4.5,600,Trimurti Nagar,"Hingna Road, Jaitala, Hingna T Point","Opposite Transmitting Station, Hingna Road, Jaitala, Hingna T Point, Nagpur",FALSE,1
Hotel Al Rahman - Yashodhara,Biryani,4,300,Itwari,Pachpaoli,"Plot Number 54, Pravesh Nagar, Ittabhatta Chowk, Nagpur",FALSE,1
GOSWAMI VEG RESTAURANT,South Indian,4,150,Kharbi,Mitra Vihar Nagar,"Plot No. 4 A, Mitra Vihar Nagar, Kharbi Ring Road, Hanuman Nagar, Nagpur, Nagpur urban, Nagpur-1 (Maharashtra), - 440009",TRUE,1
Yellow Chilly,Multi-cuisine,3.5,200,Trimurti Nagar,Subhash Nagar,"Sanchiti Complex, Flat No. 104, Ring Rd, Trimurtee Nagar, Nagpur, Maharashtra 440022",FALSE,1
Cake Honey buzz (Pure Veg),Bakery,4,300,Suyog Nagar,Pratap Nagar,"Plot 263, Shree Nagar, Manish Nagar, Nagpur",TRUE,1
Maa Annapurna Restaurant,Thali,3.7,300,Manewada,Ayodhya Nagar,"Manewada Besa Road, Opposite Indian Bank, Near Tata Square, Vaidehi Tower, Nagpur, Maharashtra 440027",FALSE,1
New Dahiya Momos and Chinese,Chinese,4.6,250,Pratap Nagar,Pratap Nagar,"Mahesh Apartment, opposite Axis Bank, Trimurtee Nagar, Nagpur, Maharashtra 440022, India",FALSE,1
Biryani Adda,Biryani,3.6,300,Itwari,Gandhibagh,"Plot Number 54, Pravesh Nagar, Ittabhatta Chowk, Nagpur",FALSE,1
Jalgaon Express,North Indian,3.2,250,Pratap Nagar,SURENDRA NAGAR,"Plot no 97, Shastri Layout,Khamla, Zone no.4 -Dhantoli, Nagpur urban, Nagpur-1, Maharashtra - 440022",FALSE,1
Ramji's food plaza,South Indian,4.2,600,Ayodhya Nagar,Ayodhya Nagar,"7 jai vighnaharta nagar bante layout, Hudkeshwar Rd, near Tulsi Dairy, Renuka Mata Nagar, Sanmarga Nagar, Nagpur, Maharashtra 440034, India",TRUE,1
Airport Centre Point Madras Cafe,Multi-cuisine,3.8,150,Wardha Road,Wardha Road,"131/1, Wardha road , nagpur 440025",FALSE,1
Hotel Ashoka Imperial,North Indian,3.5,400,Somalwada,Manish Nagar,"Plot 191, Opposite UCO Bank, Manish Nagar, Nagpur",FALSE,1
Cheesimania,Fast Food,3.8,250,Trimurti Nagar,Pratap Nagar,"SHOP NO.2, PLOT NO.4, SHREE RADHE GOVIND APPARTMENT, TRIMURTI NAGAR, RING ROAD NAGPUR., District - Nagpur-1, STATE - Maharashtra - 440022",TRUE,1
The Daawat Mahal,North Indian,3.6,450,Trimurti Nagar,Dharampeth,"C/o Sham-E-Mehfil, House no 1294/6, Perfect House Society Opposite Raghuvir Restaurant Mangalmurti Square, Hingna Rd, Nagpur, Maharashtra 440022",FALSE,1
Taste Of Thali,Thali,4.1,250,Trimurti Nagar,"New Thali King, Shelwalkar Garden Apartment","Plot no.169, S-1, Shivshakti Apartment, Lokaseva Society, Sujata Layout, Nagpur",FALSE,1
Veggietude,Multi-cuisine,4.2,300,Trimurti Nagar,"2nd Bus Stop, Trimurti Nagar Square","177, Ground Floor Of Shree Ji Niwas, 2nd Bus Stop, Trimurti Nagar Square, Ring Road, Hingna T Point, Nagpur",TRUE,1
Mom's Kitchen,North Indian,3.7,300,Gittikhadan,Gittikhadan,"Near Gausiya Masjid, Manav Seva Nagar, Friends Colony, Gittikhadan, Nagpur",FALSE,1
Amazing Food Cafe,Fast Food,3.6,250,Kalmana,"kalyan Nagar,Hingana Road,Beside Haldiram","Maina Vihar 558, Neta Ji Nagar, Pardi, Nagpur",FALSE,1
Ginger Garlic Restro,Multi-cuisine,3.8,250,Pratap Nagar,Pratap Nagar,"Trimurti  Nagar  Chowk, Ring Road, Nagpur  440022",FALSE,1
The Biryani Wallah,Biryani,3.2,200,Trimurti Nagar,"Mangalmurti Chowk, Hingna Road","House no 1294/6, Perfect House Society Opposite Raghuvir Restaurant Mangalmurti Square, Hingna Rd, Nagpur, Maharashtra 440022",FALSE,1
Rajeshahi Thali,Thali,3.6,250,Trimurti Nagar,Pratap Nagar,"Shop No 1,Sanchayni Apartment,Opp.Bhange Lawn,Trimurti Nagar,Nagpur Urban,Nagpur-1,Maharashtra,Pincode-440022",FALSE,1
Biryani Hub - Hotel Manoj,North Indian,3.8,300,Somalwada,Manish Nagar,"Plot 22, Panchatara Society, Vaishali Nagar Road, Manish Nagar",FALSE,1
Median Grilled,Fast Food,3.9,300,Manish Nagar,Manish Nagar,"Plot 8, Vijay Ganga, Beltarodi Road, Manish Nagar, Vivekanand Nagar, Nagpur",FALSE,1
Om Shakti Saoji,Maharashtrian,4.3,500,Trimurti Nagar,Trimurti nagar,"10/4, 82, HIG Housing Board Colony, Near NIT Garden, Trimuti Nagar, Nagpur",FALSE,1
Lovely's Baker Street,Multi-cuisine,4.3,250,Trimurti Nagar,"Opposite NIT Garden, Trimurti Nagar","Shop 4, Laxmi Niwas, Opposite NIT Garden, Trimurti Nagar, Pratap Nagar, Nagpur",FALSE,1
Ghugre Nashta Point,Fast Food,4.7,100,Manish Nagar,Manish Nagar,"plot no 13 pramila apartment besa road shilpa society manish nagar nagpur ,zone no.5-hanumannagar ,nagpur(urban),nagpur ,maharashtra-440015",TRUE,1
Tasty Delight,Desserts,3.5,750,Dighori,Ayodhya Nagar,"253, New Mhalgi Nagar,hudkeshwar road, Nagpur, Maharashtra 440034, India",FALSE,1
Aryanu Cakes,Bakery,3.9,300,Hingna,"Vignaharta Appartment, Hingna T-Point","Flat 102, Vignaharta Appartment, Hingna T-Point, Nagpur",TRUE,1
Meals101,Multi-cuisine,3.6,250,Hingna,Pratap Nagar,"Plot No. 2, Scheme NIT, Khasra No. 36/3, Higna Road, Nagpur.",FALSE,1
Monk 96,Multi-cuisine,3.4,250,Somalwada,Dharampeth,"Chalets  20, Sai NPlot no. 20 Engineer coop, HSG. Society, Sector 02, Somalwada, Nagpur, Maharashtra 440025agar, Engineers Co-Op Housing Society, Somalwada, Near airport, Wardha Road, Nagpur 440025",FALSE,1
MH breakfast & restaurant,Maharashtrian,4.1,200,Pratap Nagar,Indrapratha nagar,"Plot no:- 121,surve Nagar Nagpur 440025",FALSE,1
Sizzling Snacks & Bakery,Multi-cuisine,3.4,200,Hingna,"Ambika Palace, Hingna T-Point","Plot No.4-A, Shop No.1, Ambika Palace, Hingna T-Point, Hingna Road, Nagpur",FALSE,1
Oven & Grill,Multi-cuisine,3.1,250,Hingna,Pratap Nagar,"Plot No. 2, Scheme NIT, Khasra No. 36/3, Higna Road, Nagpur.  Maharashtra, 440022",FALSE,1
Mehfil Biryani by Zakir Khan,Biryani,3.5,600,Hingna,Pratap Nagar,"""""""Tarzaan Estate, Next to Priyadarshini Girls  Hostel, Priyadarshini T- Point, Nagpur.,  Nagpur-1, Maharashtra-440022 """"""",FALSE,1
Makhni Brothers,Multi-cuisine,3.3,350,Hingna,Pratap Nagar,"Plot No. 2, Scheme NIT, Khasra No. 36/3, Higna Road, Nagpur.",FALSE,1
Kings of Thali,Thali,3.8,250,Jaitala,"Hingna Rod, Near Tea Point","Hingna Rod, Near Tea Point, Takli Seem, Pratap Nagar, Nagpur",FALSE,1
7th Heaven Cake Shop,Bakery,3.7,500,Besa,Besa T Point,"SHOP NO 04, SHANTI HEIGHTS, BESA T-POINT, BELTARODI ROAD, BESA, NAGPUR 440034 ",FALSE,1
Foodasta,Thali,3.5,200,Pratap Nagar,"Prasad Nagar, mangal murti square","P.no 2 prasad nagar, near saraswati shishu mandir school, mangal murti square , Nagpur.",FALSE,1
The Wrap Co.,Fast Food,3,350,Hingna,Pratap Nagar,"Plot No. 2, Scheme NIT,Khasra No. 36/3, MB TakliSIM in layout, Ward No.74, Takli Seem HingnaRoad, Maharashtra440023.",FALSE,1
